eps,min_samples,grid_size,clusters,noise_cells,noise_percent,largest_cluster,smallest_cluster,median_cluster_size,runtime_seconds,regime
0.02,5,0.01,0,1314,100.00,0,0,0,0.013,Low: all noise
0.05,5,0.01,0,1314,100.00,0,0,0,0.003,Low: all noise
0.08,5,0.01,0,1314,100.00,0,0,0,0.003,Low: all noise
0.10,5,0.01,1,1309,99.62,5,5,5.0,0.003,Low: almost all noise
0.15,5,0.01,13,1233,93.84,17,4,5.0,0.003,Low: fragmented
0.20,5,0.01,39,760,57.84,81,4,7.0,0.003,Transition: fragmented multi-cluster
0.25,5,0.01,20,376,28.61,652,3,7.5,0.004,Balanced exploratory default
0.30,5,0.01,12,198,15.07,1009,3,8.0,0.004,High: merging
0.35,5,0.01,5,103,7.84,1131,7,20.0,0.005,High: merging
0.40,5,0.01,6,67,5.10,1153,4,10.5,0.005,High: low noise
0.50,5,0.01,2,30,2.28,1268,16,642.0,0.006,High: two large merged groups
0.60,5,0.01,2,17,1.29,1279,18,648.5,0.007,High: two large merged groups
0.80,5,0.01,2,8,0.61,1286,20,653.0,0.009,High: two large merged groups
1.00,5,0.01,2,1,0.08,1291,22,656.5,0.011,High: two large merged groups
1.20,5,0.01,2,0,0.00,1292,22,657.0,0.013,High: two large merged groups
