DR Number,Date Occurred,Time Occurred,Location,Victim Age,Victim Sex,Victim Descent,Premise Description
1,05/01/2024,800,"(34.0500, -118.2500)",30,M,H,STREET
2,05/01/2024,815,"(34.0510, -118.2510)",35,F,H,STREET
3,05/02/2024,1700,"(34.1500, -118.3500)",42,M,W,STREET
4,05/02/2024,1715,"(34.1510, -118.3510)",40,F,W,STREET
5,05/03/2024,1730,"(34.1520, -118.3520)",38,M,H,STREET
6,05/03/2024,1200,invalid,25,F,O,STREET
7,05/04/2024,2300,"(34.0530, -118.2520)",16,M,H,STREET
8,05/05/2024,900,"(34.0540, -118.2530)",70,F,W,STREET
9,13/40/2024,1000,"(34.0550, -118.2540)",28,M,H,STREET
10,05/06/2024,,"(34.0560, -118.2550)",33,F,H,STREET
11,05/06/2024,1015,"(40.7128, -74.0060)",45,M,W,STREET
12,05/06/2024,1100,"(-118.2500, 34.0500)",29,F,H,STREET
13,05/07/2024,800,"(34.0505, -118.2505)",22,M,H,STREET
